class,card,deck,speed,movement,range,type,keywords,text,role
Wizard,Spark,basic,1,0,3,attack,,2 damage.,Basic attack
Wizard,Shield,basic,2,2,,defensive,,Warded 2.,Basic defense
Wizard,Arcane Bolt,starter,3,0,5,attack,,4 damage. 6 instead if distance >= 4.,Long-range payoff
Wizard,Repulse,starter,2,1,2,control,Interrupt 1,Push the opponent 2 hexes directly away. Interrupt 1.,Forced movement
Wizard,Emberbrand,pool,3,0,4,status,,Burning 3 on the opponent.,Engine
Wizard,Scorch,pool,2,0,2,attack,,5 damage. You gain Burning 1.,Fast + strong + drawback
Wizard,Arc Lightning,pool,5,0,5,attack,,"7 damage if distance >= 4, else 4.",Slow + strong
Wizard,Hex,pool,3,1,4,status,,Exposed 2 on the opponent.,Setup
Wizard,Siphon,pool,4,0,3,attack,,"3 damage. If the opponent has Burning, remove the whole stack and deal that much again.",Cross-turn payoff
Wizard,Frost Lattice,pool,4,1,4,status,,Snared 2 on the opponent.,Movement denial
Wizard,Mirror Ward,pool,2,1,,defensive,Interrupt 1,Interrupt 1. Warded 2.,Efficient defense
Wizard,Counterspell,pool,1,1,,defensive,Interrupt 2,Interrupt 2.,Anti-strip
Wizard,Phase Step,pool,1,3,,movement,Retain,Your movement ignores obstacles this round.,"Escape, banked"
Wizard,Sigil of Recoil,pool,4,0,,defensive,Retaliate 1,Retaliate 1 - returns 5. Retaliate 2 instead if you are second this round.,Slow + reactive
Barbarian,Strike,basic,2,1,,attack,,3 damage.,Basic attack
Barbarian,Brace,basic,3,0,,defensive,,Warded 4.,Basic defense
Barbarian,Reckless Swing,starter,2,0,,attack,,6 damage. You gain Exposed 1.,Melee payoff
Barbarian,Charge,starter,3,3,,attack,,3 damage.,Closer
Barbarian,Bloodrage,pool,2,1,,status,,Enraged 2 on yourself.,Engine
Barbarian,Frenzy,pool,1,2,,attack,,4 damage. You gain Exposed 1.,Fast + strong + drawback
Barbarian,Cleave,pool,5,0,,attack,,8 damage.,Slow + strong
Barbarian,Headbutt,pool,2,1,,attack,,3 damage. Winded 1 on the opponent.,Tempo denial
Barbarian,Grapple,pool,3,2,,control,,If adjacent: Snared 3 on the opponent.,Matchup crux
Barbarian,Stagger,pool,1,2,,attack,Interrupt 1,1 damage. Interrupt 1.,Low-payload interrupt
Barbarian,Thick Hide,pool,3,0,,defensive,,Warded 6.,Durability
Barbarian,Counterblow,pool,4,0,,defensive,Retaliate 2,"Retaliate 2 - returns 3 each, or 5 each if you are second this round.",Slow + reactive
Barbarian,Second Wind,pool,4,1,,defensive,Retain,Remove all statuses and charges from yourself.,Reset
Barbarian,Last Stand,pool,3,0,,defensive,,Warded 3. If your vitality <= 7: Warded 6 and Enraged 2 instead.,Conditional payoff
